,name,age,nationality,club,bp,position,weight,foot,joined,marking,total_stats,base_stats,a/w,d/w,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova,value_log,wage_log,release_clause_log
3812,B. Sosa,22,Croatia,VfB Stuttgart,LWB,LB,170.0,Left,"Jul 1, 2018",61,1703,379,High,Medium,73,39,66,71,63,67,35.0,56.0,56.0,56.0,63.0,60.0,60.0,60.0,63.0,62.0,62.0,62.0,66.0,63.0,63.0,63.0,66.0,68.0,65.0,65.0,65.0,68.0,67.0,64.0,64.0,64.0,67.0,15.0,69,7.113943352306837,3.9542425094393248,7.414973347970818
3813,Lucas Fernandes,26,Brazil,Hokkaido Consadole Sapporo,RM,RM,143.0,Right,"Jan 6, 2020",58,1691,366,High,Medium,83,62,61,72,34,54,4.0,65.0,65.0,65.0,69.0,68.0,68.0,68.0,69.0,68.0,68.0,68.0,68.0,60.0,60.0,60.0,68.0,52.0,48.0,48.0,48.0,52.0,49.0,41.0,41.0,41.0,49.0,17.0,69,7.079181246047625,3.6020599913279625,7.204119982655925
3814,T. Rosický,36,Czech Republic,Sparta Praha,CAM,CAM CM RM,159.0,Right,"Aug 30, 2016",32,1979,410,Medium,Medium,73,70,79,82,43,63,21.0,71.0,71.0,71.0,77.0,76.0,76.0,76.0,77.0,78.0,78.0,78.0,77.0,75.0,75.0,75.0,77.0,66.0,64.0,64.0,64.0,66.0,62.0,54.0,54.0,54.0,62.0,19.0,79,7.623249290397901,3.3010299956639813,7.968482948553935
3815,M. Reinthaler,25,Italy,FC Hansa Rostock,CB,CB CDM,183.0,Right,"Jul 1, 2018",65,1629,356,Medium,Medium,65,45,55,56,62,73,3.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,56.0,57.0,57.0,57.0,56.0,60.0,61.0,61.0,61.0,60.0,61.0,64.0,64.0,64.0,61.0,16.0,64,5.720159303405957,3.0,5.903632516084238
3816,Y. Wakizaka,25,Japan,Kawasaki Frontale,CAM,CAM CM RM,150.0,Right,"Jan 1, 2018",41,1755,370,High,Medium,63,65,69,70,47,56,3.0,63.0,63.0,63.0,68.0,67.0,67.0,67.0,68.0,69.0,69.0,69.0,68.0,68.0,68.0,68.0,68.0,60.0,59.0,59.0,59.0,60.0,57.0,51.0,51.0,51.0,57.0,14.0,69,7.113943352306837,3.7781512503836434,7.2552725051033065
3817,Rildo,29,Brazil,Daegu FC,LM,LM ST RM,150.0,Right,"Jul 6, 2019",40,1754,388,High,Medium,89,64,59,75,38,63,4.0,69.0,69.0,69.0,71.0,70.0,70.0,70.0,71.0,69.0,69.0,69.0,70.0,62.0,62.0,62.0,70.0,57.0,52.0,52.0,52.0,57.0,54.0,47.0,47.0,47.0,54.0,16.0,71,7.361727836017593,3.6989700043360187,7.4623979978989565
3818,E. Orrantía,29,Mexico,Santos Laguna,RB,RB RM,139.0,Right,"Dec 11, 2014",55,1751,377,High,Medium,79,50,61,67,56,64,4.0,57.0,57.0,57.0,63.0,60.0,60.0,60.0,63.0,62.0,62.0,62.0,65.0,62.0,62.0,62.0,65.0,64.0,61.0,61.0,61.0,64.0,63.0,58.0,58.0,58.0,63.0,17.0,65,5.653212513775344,3.7781512503836434,5.883661435153617
3819,L. Mifflin,20,Peru,Melgar FBC,LB,LB,168.0,Left,"Jan 1, 2018",52,1616,355,Low,Medium,73,41,52,56,59,74,5.0,53.0,53.0,53.0,56.0,54.0,54.0,54.0,56.0,54.0,54.0,54.0,57.0,56.0,56.0,56.0,57.0,62.0,60.0,60.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,17.0,64,5.740362689494244,2.6989700043360187,7.113943352306837
3820,V. Bozhikov,32,Bulgaria,Bulgaria,CB,CB,176.0,Left,"Jul 29, 2017",64,1533,328,Medium,High,56,35,51,48,67,71,5.0,48.0,48.0,48.0,50.0,47.0,47.0,47.0,50.0,49.0,49.0,49.0,51.0,52.0,52.0,52.0,51.0,62.0,62.0,62.0,62.0,62.0,63.0,67.0,67.0,67.0,63.0,16.0,67,0.0,0.0,0.0
3821,M. Diagne,26,Senegal,Sporting de Charleroi,CB,CB,165.0,Right,"Jul 18, 2019",66,1522,331,Medium,Medium,69,29,46,47,67,73,3.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0,45.0,45.0,48.0,50.0,50.0,50.0,48.0,61.0,63.0,63.0,63.0,61.0,64.0,68.0,68.0,68.0,64.0,13.0,68,6.0,3.7781512503836434,7.204119982655925
3822,R. Krunić,26,Bosnia Herzegovina,Milan,CAM,CM,163.0,Right,"Jul 8, 2019",64,2025,422,High,Medium,66,73,73,76,65,69,55.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,72.0,73.0,73.0,73.0,72.0,69.0,69.0,69.0,69.0,69.0,68.0,67.0,67.0,67.0,68.0,18.0,73,7.662757831681574,4.447158031342219,7.913813852383717
3823,S. Tibbling,25,Sweden,FC Emmen,CM,CM,163.0,Right,"Aug 5, 2020",59,1825,387,High,High,67,57,67,72,59,65,14.0,64.0,64.0,64.0,68.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,69.0,66.0,66.0,66.0,66.0,66.0,64.0,60.0,60.0,60.0,64.0,19.0,69,7.113943352306837,3.6020599913279625,6.301029995663981
3824,T. Gutiérrez,35,Colombia,Junior FC,CF,ST,179.0,Right,"Jun 21, 2017",21,1853,376,Medium,Low,54,74,72,77,28,71,9.0,74.0,74.0,74.0,73.0,75.0,75.0,75.0,73.0,75.0,75.0,75.0,72.0,69.0,69.0,69.0,72.0,50.0,53.0,53.0,53.0,50.0,47.0,47.0,47.0,47.0,47.0,18.0,74,7.414973347970818,3.6020599913279625,7.556302500767287
3825,Lucas Tagliapietra,29,Brazil,Portimonense SC,CB,CB,198.0,Left,"Sep 9, 2020",58,1364,307,Medium,Medium,49,27,43,44,65,79,4.0,44.0,44.0,44.0,41.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,44.0,48.0,48.0,48.0,44.0,56.0,61.0,61.0,61.0,56.0,58.0,67.0,67.0,67.0,58.0,15.0,67,5.860338006570994,3.4771212547196626,7.204119982655925
3826,K. Vermeer,34,Netherlands,Los Angeles FC,GK,GK,172.0,Right,"Jan 16, 2020",14,1359,423,Medium,Medium,75,68,66,81,57,76,6.0,34.0,34.0,34.0,37.0,39.0,39.0,39.0,37.0,42.0,42.0,42.0,39.0,41.0,41.0,41.0,39.0,33.0,36.0,36.0,36.0,33.0,31.0,30.0,30.0,30.0,31.0,74.0,75,7.4623979978989565,3.7781512503836434,7.643452676486188
3827,M. Lanzini,27,Argentina,West Ham United,CAM,CAM CM LM,130.0,Right,"Jul 1, 2016",27,1889,387,Medium,Medium,76,72,78,82,32,47,96.0,71.0,71.0,71.0,77.0,76.0,76.0,76.0,77.0,78.0,78.0,78.0,77.0,72.0,72.0,72.0,77.0,57.0,55.0,55.0,55.0,57.0,53.0,43.0,43.0,43.0,53.0,18.0,78,7.079181246047625,4.633468455579586,8.374748346010104
3828,S. Weissman,24,Israel,Real Valladolid CF,ST,ST,159.0,Right,"Aug 31, 2020",23,1787,380,High,Medium,76,77,65,71,24,67,60.0,75.0,75.0,75.0,72.0,74.0,74.0,74.0,72.0,72.0,72.0,72.0,71.0,64.0,64.0,64.0,71.0,50.0,48.0,48.0,48.0,50.0,47.0,42.0,42.0,42.0,47.0,16.0,75,6.954242509439325,4.2552725051033065,8.292256071356476
3829,J. Dhillon,25,United States,Seattle Sounders FC,ST,ST,185.0,Right,"Jun 28, 2019",15,1459,321,High,High,71,62,43,62,20,63,6.0,63.0,63.0,63.0,59.0,62.0,62.0,62.0,59.0,59.0,59.0,59.0,57.0,50.0,50.0,50.0,57.0,40.0,38.0,38.0,38.0,40.0,37.0,36.0,36.0,36.0,37.0,16.0,63,5.698970004336019,3.3010299956639813,5.896526217489555
3830,D. Vavro,24,Slovakia,Lazio,CB,CB,179.0,Right,"Jul 4, 2019",70,1689,368,Medium,Medium,65,49,51,56,70,77,18.0,58.0,58.0,58.0,53.0,56.0,56.0,56.0,53.0,56.0,56.0,56.0,54.0,60.0,60.0,60.0,54.0,61.0,67.0,67.0,67.0,61.0,63.0,71.0,71.0,71.0,63.0,18.0,71,6.477121254719663,4.380211241711606,7.7558748556724915
3831,M. Bringaker,23,Norway,IK Start,ST,ST RM,161.0,Right,"Mar 29, 2018",30,1581,346,High,Low,77,60,48,66,33,62,3.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,59.0,59.0,59.0,60.0,53.0,53.0,53.0,60.0,48.0,46.0,46.0,46.0,48.0,47.0,44.0,44.0,44.0,47.0,16.0,62,5.653212513775344,2.929418925714293,5.814913181275074
3832,N. Müller,32,Germany,Western Sydney Wanderers,CAM,CAM RM,146.0,Right,"Oct 16, 2019",36,1910,397,High,Medium,72,72,70,79,43,61,11.0,71.0,71.0,71.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,73.0,69.0,69.0,69.0,73.0,61.0,59.0,59.0,59.0,61.0,58.0,52.0,52.0,52.0,58.0,17.0,74,7.643452676486188,4.0,7.740362689494244
3833,F. Colidio,20,Argentina,Sint-Truidense VV,CAM,ST,150.0,Right,"Sep 20, 2017",21,1631,338,High,Low,68,68,63,70,25,44,29.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,66.0,61.0,61.0,61.0,66.0,47.0,44.0,44.0,44.0,47.0,44.0,37.0,37.0,37.0,44.0,16.0,67,7.113943352306837,3.6020599913279625,0.0
3834,P. O'Connor,22,Republic of Ireland,Bradford City,CB,CB,170.0,Right,"Jun 18, 2019",62,1360,293,Medium,Medium,56,21,38,45,61,72,6.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,39.0,41.0,41.0,41.0,42.0,45.0,45.0,45.0,42.0,52.0,56.0,56.0,56.0,52.0,54.0,62.0,62.0,62.0,54.0,17.0,62,5.628388930050312,3.4771212547196626,5.918554530550273
3835,A. Akbulut,19,Turkey,Trabzonspor,GK,GK,181.0,Left,"Jan 1, 2019",15,961,351,Medium,Medium,65,61,59,68,34,64,14.0,22.0,22.0,22.0,20.0,21.0,21.0,21.0,20.0,22.0,22.0,22.0,21.0,23.0,23.0,23.0,21.0,19.0,22.0,22.0,22.0,19.0,19.0,21.0,21.0,21.0,19.0,62.0,63,5.829303772831025,3.3010299956639813,7.2552725051033065
3836,K. Nagai,31,Japan,FC Tokyo,RW,ST,157.0,Right,"Jan 1, 2017",50,1871,403,High,Low,93,66,63,66,41,74,44.0,69.0,69.0,69.0,70.0,69.0,69.0,69.0,70.0,68.0,68.0,68.0,70.0,64.0,64.0,64.0,70.0,59.0,56.0,56.0,56.0,59.0,57.0,51.0,51.0,51.0,57.0,18.0,69,5.977723605288848,3.7781512503836434,7.079181246047625
3837,Z. Vyner,23,England,Bristol City,CB,CB RB CDM,161.0,Right,"Aug 19, 2014",65,1574,348,Medium,Medium,69,32,51,60,65,71,8.0,52.0,52.0,52.0,55.0,53.0,53.0,53.0,55.0,54.0,54.0,54.0,57.0,56.0,56.0,56.0,57.0,63.0,62.0,62.0,62.0,63.0,64.0,66.0,66.0,66.0,64.0,15.0,66,5.9164539485499255,3.9542425094393248,7.230448921378274
3838,S. Berahino,26,Burundi,SV Zulte-Waregem,CAM,ST CAM LM,181.0,Right,"Aug 9, 2019",20,1765,375,Medium,Low,74,72,67,73,27,62,22.0,71.0,71.0,71.0,71.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,66.0,66.0,66.0,71.0,52.0,50.0,50.0,50.0,52.0,49.0,42.0,42.0,42.0,49.0,17.0,71,7.447158031342219,4.041392685158225,7.643452676486188
3839,R. Khedira,26,Germany,FC Augsburg,CB,CDM CB,185.0,Right,"Jul 1, 2017",73,1741,376,Medium,Medium,58,43,61,61,76,77,24.0,56.0,56.0,56.0,56.0,58.0,58.0,58.0,56.0,60.0,60.0,60.0,59.0,66.0,66.0,66.0,59.0,68.0,74.0,74.0,74.0,68.0,70.0,75.0,75.0,75.0,70.0,17.0,75,7.8750612633917,4.361727836017593,8.14921911265538
3840,R. Saïss,30,Morocco,Wolverhampton Wanderers,CB,CB CM,185.0,Left,"Aug 30, 2016",79,1933,412,Medium,High,62,56,70,70,78,76,71.0,65.0,65.0,65.0,65.0,66.0,66.0,66.0,65.0,69.0,69.0,69.0,67.0,73.0,73.0,73.0,67.0,72.0,78.0,78.0,78.0,72.0,73.0,78.0,78.0,78.0,73.0,18.0,78,7.929418925714293,4.838849090737256,8.209515014542632
3841,M. Romero,21,Argentina,PSV,ST,ST,159.0,Right,"Jul 1, 2018",25,1726,368,Medium,Medium,80,72,49,65,31,71,129.0,71.0,71.0,71.0,65.0,67.0,67.0,67.0,65.0,63.0,63.0,63.0,64.0,57.0,57.0,57.0,64.0,50.0,47.0,47.0,47.0,50.0,48.0,46.0,46.0,46.0,48.0,19.0,71,7.6127838567197355,3.9542425094393248,7.819543935541868
3842,D. Khalid,21,Morocco,Amiens SC,CAM,ST CAM,172.0,Right,"Jul 1, 2019",16,1532,323,Medium,Medium,64,63,56,68,19,53,4.0,63.0,63.0,63.0,62.0,64.0,64.0,64.0,62.0,63.0,63.0,63.0,61.0,56.0,56.0,56.0,61.0,42.0,40.0,40.0,40.0,42.0,38.0,34.0,34.0,34.0,38.0,15.0,63,5.720159303405957,3.0,7.041392685158225
3843,T. Motta,34,Italy,Paris Saint-Germain,CDM,CDM,181.0,Left,"Jan 1, 2012",68,1944,390,Medium,Medium,29,62,76,67,76,80,7.0,64.0,64.0,64.0,62.0,64.0,64.0,64.0,62.0,67.0,67.0,67.0,64.0,75.0,75.0,75.0,64.0,69.0,78.0,78.0,78.0,69.0,69.0,78.0,78.0,78.0,69.0,17.0,80,7.653212513775344,4.903089986991944,7.919078092376074
3844,L. Geertruida,19,Netherlands,Feyenoord,RB,RB CB,165.0,Right,"May 29, 2017",68,1785,395,Medium,Medium,78,43,64,68,69,73,146.0,59.0,59.0,59.0,64.0,61.0,61.0,61.0,64.0,63.0,63.0,63.0,66.0,65.0,65.0,65.0,66.0,70.0,69.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,70.0,17.0,72,7.643452676486188,3.6989700043360187,6.845098040014257
3845,R. Grant,29,Australia,Australia,RB,RB,163.0,Right,"Sep 1, 2009",64,1916,405,High,Medium,70,60,64,67,65,79,6.0,63.0,63.0,63.0,66.0,65.0,65.0,65.0,66.0,65.0,65.0,65.0,67.0,66.0,66.0,66.0,67.0,70.0,68.0,68.0,68.0,70.0,69.0,67.0,67.0,67.0,69.0,18.0,71,6.301029995663981,3.845098040014257,7.3979400086720375
3846,A. Ildız,23,Turkey,Yeni Malatyaspor,CB,CDM CM CAM,179.0,Right,"Jul 1, 2018",59,1670,359,Medium,Medium,62,49,58,62,61,67,3.0,57.0,57.0,57.0,58.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,59.0,60.0,61.0,61.0,61.0,60.0,60.0,62.0,62.0,62.0,60.0,17.0,62,5.6020599913279625,3.3010299956639813,5.944482672150168
3847,R. Cisneros,23,Mexico,Guadalajara,ST,ST,163.0,Right,"Jan 1, 2018",38,1602,339,Medium,Medium,67,63,52,63,29,65,6.0,65.0,65.0,65.0,61.0,63.0,63.0,63.0,61.0,61.0,61.0,61.0,60.0,55.0,55.0,55.0,60.0,46.0,46.0,46.0,46.0,46.0,44.0,42.0,42.0,42.0,44.0,18.0,65,5.889301702506311,4.041392685158225,7.176091259055681
3848,L. Griffiths,29,Scotland,Celtic,ST,ST,170.0,Left,"Jan 31, 2014",21,1843,377,High,Medium,76,75,63,71,24,68,22.0,72.0,72.0,72.0,71.0,71.0,71.0,71.0,71.0,68.0,68.0,68.0,69.0,60.0,60.0,60.0,69.0,50.0,45.0,45.0,45.0,50.0,46.0,42.0,42.0,42.0,46.0,19.0,72,7.491361693834273,4.5910646070264995,7.748188027006201
3849,L. Palmer  B,28,Scotland,Sheffield Wednesday,RB,RB LB RWB,179.0,Right,"Jul 1, 2010",53,1841,396,Medium,Low,75,58,64,65,62,72,9.0,62.0,62.0,62.0,64.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0,65.0,66.0,65.0,65.0,65.0,66.0,66.0,65.0,65.0,65.0,66.0,16.0,68,5.889301702506311,3.9030899869919438,7.176091259055681
3851,B. Pitman,32,England,Swindon Town,ST,ST CF,154.0,Right,"Sep 4, 2020",25,1656,329,Medium,Low,46,69,60,60,29,65,11.0,65.0,65.0,65.0,60.0,63.0,63.0,63.0,60.0,61.0,61.0,61.0,59.0,58.0,58.0,58.0,59.0,44.0,46.0,46.0,46.0,44.0,42.0,43.0,43.0,43.0,42.0,17.0,65,5.628388930050312,3.6020599913279625,5.871572935545879
3852,Diogo Queirós,21,Portugal,FC Porto,CB,CB RB,176.0,Right,"Jul 1, 2017",69,1536,339,Medium,High,60,36,43,58,70,72,37.0,50.0,50.0,50.0,47.0,49.0,49.0,49.0,47.0,49.0,49.0,49.0,50.0,53.0,53.0,53.0,50.0,61.0,65.0,65.0,65.0,61.0,63.0,70.0,70.0,70.0,63.0,17.0,70,7.414973347970818,3.6989700043360187,7.7558748556724915
3853,J. Brooks,27,United States,VfL Wolfsburg,CB,CB,172.0,Left,"Jul 1, 2017",75,1704,385,Medium,High,72,39,58,64,77,75,79.0,58.0,58.0,58.0,57.0,58.0,58.0,58.0,57.0,60.0,60.0,60.0,60.0,64.0,64.0,64.0,60.0,67.0,73.0,73.0,73.0,67.0,70.0,76.0,76.0,76.0,70.0,16.0,76,7.929418925714293,4.568201724066995,8.178976947293169
3854,K. Hansen,19,Norway,Stabæk Fotball,CAM,RW LW,154.0,Right,"May 25, 2020",24,1593,339,High,Low,70,58,57,67,34,53,17.0,59.0,59.0,59.0,62.0,61.0,61.0,61.0,62.0,61.0,61.0,61.0,61.0,57.0,57.0,57.0,61.0,50.0,48.0,48.0,48.0,50.0,48.0,42.0,42.0,42.0,48.0,17.0,62,5.812913356642856,2.7781512503836434,7.079181246047625
3855,C. Coventry,20,Republic of Ireland,West Ham United,CM,CM CDM,143.0,Right,"May 25, 2017",51,1564,330,Medium,Medium,59,46,56,60,51,58,23.0,50.0,50.0,50.0,55.0,54.0,54.0,54.0,55.0,57.0,57.0,57.0,56.0,59.0,59.0,59.0,56.0,55.0,58.0,58.0,58.0,55.0,54.0,53.0,53.0,53.0,54.0,15.0,59,5.544068044350276,3.6020599913279625,5.946452265013073
3856,A. Griezmann,29,France,FC Barcelona,ST,ST CF LW,161.0,Left,"Jul 12, 2019",59,2288,465,Medium,Medium,79,85,84,88,57,72,446.0,85.0,85.0,85.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,83.0,83.0,83.0,86.0,73.0,71.0,71.0,71.0,73.0,70.0,65.0,65.0,65.0,70.0,21.0,87,8.703291378118662,5.4623979978989565,9.014940349792937
3857,Guaita,33,Spain,Crystal Palace,GK,GK,176.0,Right,"Jul 1, 2018",23,1373,450,Medium,Medium,81,80,77,82,52,78,22.0,31.0,31.0,31.0,32.0,32.0,32.0,32.0,32.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,33.0,33.0,33.0,34.0,33.0,31.0,31.0,31.0,33.0,79.0,80,6.903089986991944,4.681241237375588,8.181843587944773
3858,J. Buckley,20,England,Blackburn Rovers,CAM,CM CAM,139.0,Right,"Jan 26, 2018",56,1719,373,Medium,Medium,76,57,61,68,56,55,24.0,60.0,60.0,60.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,64.0,64.0,64.0,65.0,63.0,61.0,61.0,61.0,63.0,62.0,57.0,57.0,57.0,62.0,16.0,64,5.989004615698537,3.845098040014257,7.3979400086720375
3859,J. Mickels,20,Germany,FC Aarau,ST,ST,152.0,Right,"Jul 16, 2014",25,1354,280,High,Low,56,54,40,56,27,47,3.0,53.0,53.0,53.0,49.0,53.0,53.0,53.0,49.0,52.0,52.0,52.0,47.0,44.0,44.0,44.0,47.0,38.0,38.0,38.0,38.0,38.0,36.0,35.0,35.0,35.0,36.0,13.0,53,4.698970004336019,3.3010299956639813,0.0
3860,C. Roberts,21,England,Newcastle United,LW,RM CAM LM,143.0,Left,"Jan 28, 2015",30,1547,321,Medium,Medium,71,61,57,64,28,40,6.0,59.0,59.0,59.0,62.0,61.0,61.0,61.0,62.0,61.0,61.0,61.0,61.0,54.0,54.0,54.0,61.0,46.0,42.0,42.0,42.0,46.0,44.0,35.0,35.0,35.0,44.0,17.0,62,5.740362689494244,3.7781512503836434,7.079181246047625
3861,P. De Blasis,31,Argentina,SD Eibar,RW,RB LM RM,143.0,Right,"Aug 30, 2018",70,2082,421,High,Medium,74,72,71,79,70,55,6.0,72.0,72.0,72.0,75.0,74.0,74.0,74.0,75.0,74.0,74.0,74.0,74.0,72.0,72.0,72.0,74.0,73.0,70.0,70.0,70.0,73.0,72.0,68.0,68.0,68.0,72.0,17.0,73,7.4623979978989565,4.230448921378274,7.785329835010767
3862,D. Lenihan,26,Republic of Ireland,Blackburn Rovers,CB,CB,168.0,Right,"Jun 1, 2012",72,1737,373,Medium,High,67,46,55,58,73,74,26.0,56.0,56.0,56.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,59.0,59.0,59.0,57.0,65.0,67.0,67.0,67.0,65.0,67.0,72.0,72.0,72.0,67.0,15.0,72,7.544068044350276,4.431363764158987,7.838849090737256
3863,V. Centurión,34,Paraguay,Sol de América,GK,GK,174.0,Right,"Jul 1, 2019",23,1027,324,Medium,Medium,60,61,60,61,23,59,3.0,20.0,20.0,20.0,18.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,20.0,20.0,20.0,19.0,19.0,21.0,21.0,21.0,19.0,18.0,22.0,22.0,22.0,18.0,59.0,60,4.954242509439325,2.6989700043360187,5.2878017299302265
3864,I. Piatti,35,Argentina,San Lorenzo de Almagro,CAM,LW LM ST,168.0,Right,"Feb 10, 2020",61,1997,429,High,Medium,68,79,74,82,54,72,29.0,76.0,76.0,76.0,78.0,79.0,79.0,79.0,78.0,79.0,79.0,79.0,77.0,76.0,76.0,76.0,77.0,65.0,68.0,68.0,68.0,65.0,61.0,59.0,59.0,59.0,61.0,19.0,78,7.653212513775344,4.301029995663981,7.832508912706237
3866,R. Aguirre,25,Uruguay,LDU Quito,ST,ST RW,170.0,Left,"Feb 13, 2019",18,1657,357,High,Medium,76,72,54,66,23,66,10.0,70.0,70.0,70.0,66.0,67.0,67.0,67.0,66.0,63.0,63.0,63.0,63.0,54.0,54.0,54.0,63.0,45.0,41.0,41.0,41.0,45.0,43.0,40.0,40.0,40.0,43.0,13.0,70,7.361727836017593,2.6989700043360187,7.707570176097937
3867,H. Holguín,19,United States,Santos Laguna,GK,GK,150.0,Right,"Aug 1, 2020",12,1054,328,Medium,Medium,55,55,52,56,50,60,3.0,26.0,26.0,26.0,25.0,27.0,27.0,27.0,25.0,29.0,29.0,29.0,28.0,29.0,29.0,29.0,28.0,24.0,26.0,26.0,26.0,24.0,24.0,23.0,23.0,23.0,24.0,56.0,57,5.278753600952829,3.0,5.645422269349092
3868,Y. Hurtado,22,Colombia,Alianza Petrolera,RWB,RB,148.0,Right,"Jan 31, 2016",65,1734,373,High,Medium,70,45,62,63,63,70,3.0,55.0,55.0,55.0,61.0,58.0,58.0,58.0,61.0,60.0,60.0,60.0,64.0,62.0,62.0,62.0,64.0,67.0,64.0,64.0,64.0,67.0,66.0,62.0,62.0,62.0,66.0,16.0,67,5.977723605288848,3.0,7.176091259055681
3869,A. Özbiliz,29,Armenia,Beşiktaş JK,LW,RW,159.0,Left,"Jan 23, 2016",30,1838,386,Medium,Medium,78,73,72,75,33,55,4.0,68.0,68.0,68.0,73.0,71.0,71.0,71.0,73.0,72.0,72.0,72.0,72.0,66.0,66.0,66.0,72.0,56.0,53.0,53.0,53.0,56.0,52.0,43.0,43.0,43.0,52.0,16.0,73,7.5910646070264995,4.698970004336019,7.869231719730976
3870,Miguel Lopes,33,Portugal,Kayserispor,RB,RB CB,183.0,Right,"Jul 12, 2019",75,1941,412,High,Medium,77,50,67,68,73,77,6.0,63.0,63.0,63.0,66.0,65.0,65.0,65.0,66.0,65.0,65.0,65.0,68.0,67.0,67.0,67.0,68.0,73.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,19.0,75,6.477121254719663,4.146128035678238,6.778151250383644
3871,R. Rentería,24,Colombia,Deportivo Cali,CB,CB,179.0,Right,"Jan 28, 2019",64,1312,282,Low,Medium,59,23,32,37,61,70,3.0,38.0,38.0,38.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,37.0,38.0,38.0,38.0,37.0,51.0,52.0,52.0,52.0,51.0,54.0,61.0,61.0,61.0,54.0,15.0,61,5.544068044350276,2.6989700043360187,5.734799829588847
3872,M. Loría,23,Costa Rica,Portland Timbers,CAM,RM LM CAM,170.0,Left,"Dec 10, 2018",40,1677,364,High,High,78,63,60,67,41,55,9.0,62.0,62.0,62.0,65.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0,63.0,59.0,59.0,59.0,63.0,53.0,51.0,51.0,51.0,53.0,51.0,46.0,46.0,46.0,51.0,15.0,64,5.829303772831025,3.3010299956639813,7.041392685158225
3873,J. Pereira,33,Mexico,Club Necaxa,CB,CB,179.0,Right,"Sep 7, 2020",71,1524,320,Medium,High,32,37,52,50,71,78,7.0,48.0,48.0,48.0,46.0,47.0,47.0,47.0,46.0,48.0,48.0,48.0,49.0,55.0,55.0,55.0,49.0,60.0,65.0,65.0,65.0,60.0,61.0,70.0,70.0,70.0,61.0,17.0,70,5.929418925714293,3.845098040014257,7.146128035678238
3874,F. Fajr,31,Morocco,Sivasspor,CM,CM CDM RM,157.0,Right,"Sep 14, 2020",67,2014,421,High,Medium,61,73,78,76,67,66,13.0,69.0,69.0,69.0,73.0,73.0,73.0,73.0,73.0,75.0,75.0,75.0,73.0,75.0,75.0,75.0,73.0,71.0,73.0,73.0,73.0,71.0,69.0,67.0,67.0,67.0,69.0,19.0,75,7.740362689494244,4.2552725051033065,7.041392685158225
3875,M. Moralez,33,Argentina,New York City FC,CAM,CAM CM,123.0,Right,"Feb 15, 2017",48,1914,396,High,High,73,71,74,77,52,49,15.0,70.0,70.0,70.0,75.0,74.0,74.0,74.0,75.0,75.0,75.0,75.0,75.0,72.0,72.0,72.0,75.0,65.0,63.0,63.0,63.0,65.0,63.0,54.0,54.0,54.0,63.0,16.0,75,6.6020599913279625,3.9542425094393248,6.778151250383644
3876,D. Buonanotte,32,Argentina,Universidad Católica,CAM,CAM,126.0,Left,"Jul 20, 2016",35,1817,368,High,Low,83,67,72,79,30,37,13.0,65.0,65.0,65.0,74.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,73.0,67.0,67.0,67.0,73.0,54.0,50.0,50.0,50.0,54.0,50.0,38.0,38.0,38.0,50.0,20.0,74,7.643452676486188,4.079181246047625,7.7923916894982534
3877,Renan Lodi,22,Brazil,Atlético Madrid,LB,LB,150.0,Left,"Jul 7, 2019",75,2151,458,High,Medium,84,67,76,81,75,75,594.0,74.0,74.0,74.0,78.0,77.0,77.0,77.0,78.0,77.0,77.0,77.0,79.0,77.0,77.0,77.0,79.0,79.0,77.0,77.0,77.0,79.0,79.0,75.0,75.0,75.0,79.0,19.0,81,8.332438459915606,4.690196080028514,8.684845361644413
